inst#,actual,predicted,error,prediction
1,1:Not,2:Forward,+,0.855
2,1:Not,1:Not,,0.951
3,1:Not,1:Not,,0.998
4,1:Not,3:Right,+,0.924
5,1:Not,2:Forward,+,0.939
6,1:Not,1:Not,,0.979
7,1:Not,2:Forward,+,0.932
8,1:Not,3:Right,+,0.91
9,1:Not,1:Not,,0.959
10,1:Not,1:Not,,0.507
11,1:Not,1:Not,,0.978
12,1:Not,1:Not,,0.959
13,1:Not,2:Forward,+,0.809
14,1:Not,2:Forward,+,0.864
15,1:Not,1:Not,,0.995
16,1:Not,1:Not,,0.978
17,1:Not,1:Not,,0.936
18,1:Not,1:Not,,0.998
19,1:Not,1:Not,,0.984
20,1:Not,1:Not,,0.991
21,1:Not,1:Not,,0.988
22,1:Not,1:Not,,0.7
23,1:Not,1:Not,,0.667
24,1:Not,1:Not,,0.755
25,1:Not,2:Forward,+,0.756
26,1:Not,2:Forward,+,0.903
27,1:Not,2:Forward,+,0.865
28,1:Not,1:Not,,0.978
29,1:Not,2:Forward,+,0.9
30,1:Not,1:Not,,0.96
31,1:Not,3:Right,+,0.94
32,1:Not,1:Not,,0.946
33,1:Not,1:Not,,0.986
34,2:Forward,2:Forward,,0.929
35,2:Forward,1:Not,+,0.82
36,2:Forward,2:Forward,,0.899
37,2:Forward,2:Forward,,0.903
38,2:Forward,2:Forward,,0.899
39,2:Forward,2:Forward,,0.935
40,2:Forward,1:Not,+,0.927
41,2:Forward,2:Forward,,0.942
42,2:Forward,2:Forward,,0.969
43,2:Forward,2:Forward,,0.899
44,2:Forward,2:Forward,,0.965
45,2:Forward,2:Forward,,0.62
46,2:Forward,2:Forward,,0.885
47,2:Forward,2:Forward,,0.896
48,2:Forward,2:Forward,,0.913
49,2:Forward,2:Forward,,0.866
50,2:Forward,2:Forward,,0.964
51,2:Forward,2:Forward,,0.994
52,2:Forward,2:Forward,,0.866
53,2:Forward,1:Not,+,0.497
54,2:Forward,2:Forward,,0.842
55,2:Forward,2:Forward,,0.899
56,2:Forward,2:Forward,,0.996
57,2:Forward,2:Forward,,0.602
58,2:Forward,1:Not,+,0.959
59,2:Forward,2:Forward,,0.808
60,2:Forward,2:Forward,,0.869
61,2:Forward,1:Not,+,0.895
62,2:Forward,2:Forward,,0.993
63,2:Forward,2:Forward,,0.961
64,2:Forward,1:Not,+,0.847
65,2:Forward,2:Forward,,0.899
66,2:Forward,2:Forward,,0.972
67,2:Forward,2:Forward,,0.822
68,2:Forward,1:Not,+,0.887
69,2:Forward,2:Forward,,0.867
70,4:Left,2:Forward,+,0.927
71,4:Left,1:Not,+,0.978
72,4:Left,4:Left,,0.934
73,4:Left,4:Left,,0.943
74,4:Left,4:Left,,0.934
75,4:Left,2:Forward,+,0.926
76,4:Left,4:Left,,0.93
77,4:Left,4:Left,,0.938
78,4:Left,4:Left,,0.938
79,4:Left,4:Left,,0.945
80,4:Left,2:Forward,+,0.961
81,4:Left,1:Not,+,0.961
82,4:Left,4:Left,,0.771
83,4:Left,4:Left,,0.865
84,4:Left,4:Left,,0.875
85,4:Left,1:Not,+,0.665
86,3:Right,3:Right,,0.915
87,3:Right,4:Left,+,0.848
88,3:Right,3:Right,,0.998
89,3:Right,3:Right,,0.867
90,3:Right,3:Right,,0.989
91,3:Right,3:Right,,0.949
92,3:Right,3:Right,,0.916
93,3:Right,3:Right,,0.991
94,3:Right,3:Right,,0.916
95,3:Right,1:Not,+,0.818
96,3:Right,3:Right,,0.993
97,3:Right,3:Right,,0.915
98,3:Right,3:Right,,0.899
99,3:Right,3:Right,,0.962
100,3:Right,3:Right,,0.992
101,3:Right,3:Right,,0.994
102,3:Right,3:Right,,0.915
103,3:Right,3:Right,,0.893
104,3:Right,4:Left,+,0.821
1,1:Not,1:Not,,0.996
2,1:Not,1:Not,,0.996
3,1:Not,2:Forward,+,0.999
4,1:Not,1:Not,,1
5,1:Not,1:Not,,0.67
6,1:Not,1:Not,,1
7,1:Not,1:Not,,0.611
8,1:Not,1:Not,,0.95
9,1:Not,1:Not,,0.997
10,1:Not,1:Not,,0.652
11,1:Not,1:Not,,0.998
12,1:Not,3:Right,+,0.616
13,1:Not,2:Forward,+,0.684
14,1:Not,1:Not,,0.567
15,1:Not,1:Not,,0.996
16,1:Not,3:Right,+,0.5
17,1:Not,2:Forward,+,0.948
18,1:Not,1:Not,,0.993
19,1:Not,1:Not,,0.996
20,1:Not,1:Not,,0.669
21,1:Not,1:Not,,1
22,1:Not,1:Not,,0.627
23,1:Not,1:Not,,0.656
24,1:Not,1:Not,,0.572
25,1:Not,1:Not,,0.647
26,1:Not,1:Not,,0.973
27,1:Not,1:Not,,0.997
28,1:Not,1:Not,,0.662
29,1:Not,1:Not,,0.874
30,1:Not,1:Not,,0.647
31,1:Not,1:Not,,0.998
32,1:Not,1:Not,,0.653
33,1:Not,1:Not,,0.996
34,2:Forward,2:Forward,,0.602
35,2:Forward,2:Forward,,0.985
36,2:Forward,2:Forward,,0.753
37,2:Forward,2:Forward,,0.98
38,2:Forward,2:Forward,,0.999
39,2:Forward,2:Forward,,0.997
40,2:Forward,1:Not,+,0.672
41,2:Forward,2:Forward,,0.751
42,2:Forward,2:Forward,,0.999
43,2:Forward,2:Forward,,0.895
44,2:Forward,1:Not,+,0.661
45,2:Forward,2:Forward,,0.601
46,2:Forward,2:Forward,,1
47,2:Forward,2:Forward,,1
48,2:Forward,2:Forward,,0.999
49,2:Forward,2:Forward,,1
50,2:Forward,2:Forward,,1
51,2:Forward,2:Forward,,0.999
52,2:Forward,2:Forward,,1
53,2:Forward,1:Not,+,0.996
54,2:Forward,2:Forward,,1
55,2:Forward,2:Forward,,1
56,2:Forward,1:Not,+,0.996
57,2:Forward,2:Forward,,0.983
58,2:Forward,2:Forward,,1
59,2:Forward,1:Not,+,0.626
60,2:Forward,2:Forward,,0.999
61,2:Forward,2:Forward,,0.603
62,2:Forward,2:Forward,,1
63,2:Forward,2:Forward,,0.998
64,2:Forward,2:Forward,,0.971
65,2:Forward,2:Forward,,1
66,2:Forward,2:Forward,,0.516
67,2:Forward,2:Forward,,0.999
68,2:Forward,2:Forward,,1
69,2:Forward,2:Forward,,0.964
70,4:Left,4:Left,,0.969
71,4:Left,4:Left,,0.98
72,4:Left,4:Left,,1
73,4:Left,4:Left,,0.998
74,4:Left,4:Left,,1
75,4:Left,4:Left,,0.999
76,4:Left,4:Left,,1
77,4:Left,4:Left,,0.988
78,4:Left,3:Right,+,0.662
79,4:Left,4:Left,,0.693
80,4:Left,4:Left,,1
81,4:Left,4:Left,,0.897
82,4:Left,4:Left,,1
83,4:Left,3:Right,+,0.832
84,4:Left,1:Not,+,0.999
85,4:Left,4:Left,,1
86,3:Right,3:Right,,0.914
87,3:Right,3:Right,,0.827
88,3:Right,4:Left,+,0.964
89,3:Right,3:Right,,0.499
90,3:Right,3:Right,,0.616
91,3:Right,1:Not,+,0.633
92,3:Right,3:Right,,0.832
93,3:Right,3:Right,,0.686
94,3:Right,3:Right,,0.832
95,3:Right,3:Right,,0.811
96,3:Right,3:Right,,0.999
97,3:Right,1:Not,+,0.932
98,3:Right,3:Right,,1
99,3:Right,3:Right,,0.814
100,3:Right,3:Right,,0.993
101,3:Right,3:Right,,0.986
